map_id,judul,label,genre
1,Surat Cinta - Vina Panduwinata,Bahagia,Pop
2,"Ya Sudahlah - Bondan Prakoso, Fade2Black",Bahagia,Pop / Rock
3,Kenangan Terindah - SAMSONS,Sedih,Pop / Rock
4,Salam Rindu - Tipe-X,Bahagia,Pop
5,I Love U Bibeh - The Changcuters,Bahagia,Pop / Rock
6,"Tetap Semangat - Bondan Prakoso, Fade2Black",Bahagia,Pop
7,Semua Tentang Kita - Peterpan,Sedih,Indie / Pop
8,Aku Cinta Dia - Chrisye,Bahagia,Pop
9,Fortune Cookie yang Mencinta - JKT48,Bahagia,Pop
10,Butiran Debu - Rumor,Sedih,Pop / Rock
11,Selamat Jalan - Tipe-X,Sedih,Pop / Rock
12,Menghujam Jantungku - Tompi,Bahagia,Soul / Pop
13,Kamu Ngga Sendirian - Tipe-X,Bahagia,Indie / Rock
14,Pergilah Kasih - Chrisye,Marah,Pop
15,Manusia Bodoh - Ada Band,Sedih,Pop / Rock
16,Haruskah Ku Mati - Ada Band,Sedih,Pop / Rock
17,Saat Bahagia - Ungu,Bahagia,Pop
18,Yang Terlewatkan - Sheila On 7,Sedih,Pop / Rock
19,Dekat di Hati - RAN,Bahagia,Jazz / Pop
20,Dia Milikku - Yovie & Nuno,Marah,Pop
21,Bumi dan Bulan - HiVi!,Sedih,Jazz / Pop
22,"C.H.R.I.S.Y.E. - Diskoria, Laleilmanino, Eva Celia",Sedih,Pop
23,"Berpisah Itu Mudah - Rizky Febian, Mikha Tambayong",Sedih,Pop
24,Panah Asmara - Afgan,Bahagia,Pop
25,Bertaut - Nadin Amizah,Bahagia,"Pop, Alternative/Indie"
26,"Serenata Jiwa Lara - Laleilmanino, Dian Sastrowardoyo",Sedih,Pop
27,Rapsodi - JKT48,Bahagia,Pop
28,Tutur Batin - Yura Yunita,Marah,"Pop, Alternative/Indie"
29,Galih dan Ratna - Chrisye,Bahagia,Pop
30,Peri Cintaku - Ziva Magnolya,Takut,Pop
31,Seberang - Reza Darmawangsa,Sedih,Pop
32,Kau Rumahku - Raissa Anggiani,Bahagia,Pop
33,Akhir Tak Bahagia - Misellia,Sedih,Pop
34,Takkan Kemana - The Overtunes,Bahagia,Pop
35,Pedih - Last Child,Sedih,Pop Rock
36,Hanya Rindu - Andmesh,Sedih,Pop
37,Dia Dia Dia - Fatin,Sedih,Pop
38,Aku Bukan Jodohnya - Tri Suaka,Sedih,Pop Rock
39,Awas Jatuh Cinta - Armada,Marah,Pop
40,Sisa Rasa - Mahalini,Sedih,Pop
41,Mantra Cinta - Rizky Febian,Sedih,Pop
42,Cuek  - Rizky Febian,Marah,Pop
43,Makna Cinta  - Rizky Febian,Bahagia,Pop
44,Sudah - Ardhito Pramono,Bahagia,Pop
45,"Adu Rayu - Glenn Fredly, Tulus, and Yovie Widianto",Bahagia,Pop
46,Gajah - Tulus,Bahagia,Jazz/Pop
47,Sepatu - Tulus,Sedih,Jazz/Pop
48,Tukar Jiwa - Tulus,Bahagia,Pop
49,Memulai Kembali - Monita Tahalea,Sedih,Jazz/Pop
50,Monokrom - Tulus,Bahagia,Pop
51,Kala Cinta Menggoda - Noah,Sedih,Pop
52,Seperti yang Kau Minta - Chrisye,Sedih,Pop
53,Kisah Kasih di Sekolah - Chrisye,Bahagia,Pop
54,Galang Rambu Anarki - Iwan Fals,Marah,Pop
55,Sesaat Kau Hadir - Utha Likumahuwa,Bahagia,Pop
56,Lantas - Juicy Luicy,Takut,Pop
57,Jatuh Suka - Tulus,Bahagia,Jazz/Pop
58,Bicara - Monita Tahalea,Bahagia,Pop/Akustik
59,Remaja - HiVi,Bahagia,Pop
60,Mata ke Hati - HiVi,Bahagia,Pop
61,Bohongi Hati - Mahalini,Marah,Pop
62,Menyesal - Yovie Widianto,Sedih,Pop
63,Peterpan - Yang terdalam,Sedih,Pop
64,Bintang di Surga - Peterpan/Noah,Sedih,Pop
65,Kupeluk Hatimu - Noah,Sedih,Pop
66,Mencari Cinta - Noah,Sedih,Pop/AlternativeRock
67,Menghapus Jejakmu - Peterpan/Noah,Bahagia,Pop/AlternativeRock
68,Pura Pura Lupa - Mahen,Sedih,Pop
69,Tak Ingin Usai - Keisya Levronka,Sedih,Pop
70,Tolong - Budi Doremi,Bahagia,Pop
71,Aku dan bintang - peterpan,Bahagia,pop
72,Jauh mimpiku - peterpan,Sedih,pop
73,Walau habis terang - peterpan,Sedih,pop
74,Kukatakan dengan indah - peterpan,Sedih,pop
75,Cobalah mengerti - peterpan,Bahagia,pop
76,Bunga - Bondan prakoso,Marah,pop
77,lapang dada - sheila on7,Sedih,pop
78,Lagu Santai - steven & Coconuttreez,Bahagia,pop/reggae
79,esok kan bahagia - D'masiv,Sedih,pop
80,pemuja rahasia - So7,Sedih,pop
81,"Rindu dalam Hati - Arsy Widianto, Brisia Jodie",Sedih,Pop
82,Cinta Sejati - Bunga Citra Lestari ,Bahagia,Pop
83,Pilihan Yang Terbaik - Ziva Magnolya,Sedih,Pop
84,Kota - Dere,Sedih,Pop
85,Berisik - Dere,Marah,Pop
86,Runtuh - Feby Putri Feat. Fiersa Besari,Sedih,Pop
87,Dulu - Danar,Marah,Pop
88,Mesin Waktu - Budi Doremi,Sedih,Pop
89,Mungkinkah - Stinky,Takut,Pop
90," Cintanya Aku - Tiara Andini, Arsy Widianto",Bahagia,Pop
91,Rizky Febian - Hingga Tua Bersama,Sedih,Pop
92,Tiara Andini - Usai,Sedih,Pop
93,Bunga Citra Lestari - Kecewa,Marah,Pop
94,Anggi Marito - Tak Segampang Itu,Sedih,Pop
95,Lebih Indah - Adera,Bahagia,Pop
96,Ego - Lyodra,Sedih,Pop
97,Fana Merah Jambu - Fourtwnty,Bahagia,Pop/Indie
98,Orang ke 3 - HIVI!,Sedih,Pop/Indie
99,Jodoh Pasti Bertemu - Afgan,Sedih,Pop
100,Bahagia - GAC,Bahagia,Pop
101,Duka - Last Child,Sedih,Pop/Rock
102,Kamu Jahat - Geisha,Sedih,Pop
103,Tak pernah ternilai - Last Child,Sedih,Pop/Rock
104,Pura-pura Lupa - Mahen,Sedih,Pop
105,Puisi - Jikustik,Bahagia,Pop
106,Lugu - Celine Ft Nadya,Marah,Pop
107,"Tentang Aku, Kau, dan Dia - Kangen Band",Sedih,Pop
108,Asmalibrasi - Soegi Bornean,Bahagia,Pop
109,Yang Terlupakan - Iwan Fals Ft NOAH,Sedih,Pop
110,Izinkan Aku Mendua - Geisha,Takut,Pop/Rock
111,Kamu & kenangan - Maudy Ayunda,Sedih,Pop
112,Perahu Kertas - Maudy Ayunda,Bahagia,Pop
113,Seperti Kisah - Rizky Febian,Bahagia,Pop
114,Sial - Mahalini,Marah,Pop
115,Bukan Milikmu Lagi - Agnes Monica,Marah,Pop
116,Kamu Anggap Apa - Ghea,Marah,Pop
117,Teman Tapi Menikah - Dengarkan Dia,Bahagia,Pop
118,Terhebat - CJR,Bahagia,Pop
119,Jangan Pergi - Killing Me Inside,Takut,Pop
120,Tiba-tiba - Quinn Salman,Bahagia,Pop
121,Menari - Maliq & d'essentials,Bahagia,Pop
122,Sisa hari - ify alyssa,Bahagia,Pop
123,Tujuh belas - Tulus,Bahagia,Pop
124,Dua insan - Ify alyssa ft Aditya Sofian,Bahagia,Pop
125,Langit abu-abu - Tulus,Marah,Pop
126,Lebih baik - CJR,Bahagia,Pop
127,Cinta - Naura ayu,Bahagia,Pop
128,Berlari tanpa kaki - GAC,Sedih,Pop
129,Lebih darinya - Hanggini,Sedih,Pop
130,Harta berharga - Bunga Citra Lestari,Bahagia,Pop
131,Pasti Bisa - Citra Scholastika,Bahagia,Pop
132,Hati yang Kau Sakiti - Rosa,Sedih,Pop
133,Teman Bahagia - Jazz,Bahagia,Jazz
134,Cantik - Kahitna,Bahagia,Pop
135,Everybody Knew - Citra  Scholastika,Marah,Pop
136,Kesepian - Vierra,Sedih,Pop
137,Symphoni yang Indah - Once Mekel,Bahagia,Pop
138,Takkan Berpaling Darimu - Rossa,Bahagia,Pop
139,Sedang Sayang-Sayangnya - Mawar De Jongh,Sedih,Pop
140,Sebuah Rasa -  Agnes Monica,Marah,Pop
141,Lumpuhkanlah Ingatanku - Geisha,Sedih,Pop
142,Sempurna - Andra and The Backbone,Bahagia,Pop/Rock
143,Jadilah legenda - Superman is Dead,Bahagia,Pop/Rock
144,Melawan Restu - Mahalini ,Sedih,Pop
145,Kesempurnaan Cinta - Rizky Febian,Bahagia,Pop
146,Kangen - Dewa 19,Sedih,Pop
147,Pelangi - HIVI!,Sedih,Pop
148,Dari Mata - Jazz,Bahagia,Pop
149,Janji Suci - Yovie & Nuno,Takut,Pop
150,Ga Romantis - Lyla,Takut,Pop
151,Surat Buat Wakil Rakyat - Iwan Fals,Marah,Pop/Rock/Jazz
152,Titip Rindu Buat Ayah - Ebiet G.Ade,Sedih,Pop/Rock/Jazz
153,Lagi Lagi - Raissa,Sedih,Pop
154,Bunda - Potret,Sedih,Pop/Rock/Indie/Jazz
155,Sakit Hati - Tipe X,Marah,Pop/Rock
156,Disini Dibatas Kota Ini - Tommy J Pisa,Sedih,Pop/Jazz
157,Andaikan Kau Datang Kembali - Koes Plus,Sedih,Pop/Rock
158,Bintang Kehidupan - nike ardilla,Sedih,Pop/Rock
159,Mungkinkah - Stinky,,Pop/Rock
160,Gereja Tua - Panbers,Sedih,Pop/Rock
161,Kepompong - Sind3ntosca,Bahagia,Pop
162,Suara - Hijau Daun,Sedih,Pop
163,Jadikan Aku yang Kedua - Astrid,Sedih,Pop
164,Mungkin Nanti - Peterpen,Takut,Pop
165,Film Favorit - Sheila On 7,Bahagia,Pop
166,C.I.N.T.A - d'Bagindas,Sedih,Pop
167,Sebuah Kisah Klasik - Sheila On 7,Sedih,Pop
168,Mimpi yang Sempurna - Peterpen,Sedih,Pop
169,Di Atas Normal - Peterpen,Takut,Pop
170,Langit tak mendengar - Peterpen,Sedih,Pop
171,365 - Tiara Andini,Sedih,Pop
172,Menjadi Dia - Tiara Andini,Sedih,Pop
173,Aku Yang Salah - Nuca x Mahalini,Sedih,Pop
174,Pesan Terakhir - Lyodra,Sedih,Pop
175,Janji Setia - Tiara Andini,Sedih,Pop
176,Tak Mungkin Bersama - Judika,Sedih,Pop
177,Jadi Yang Kuinginkan - Vierra,Bahagia,Pop
178,Crolatte - Nuca,Bahagia,Pop
179,Hilang - Nuca,Sedih,Pop
180,Merasa Indah - Tiara Andini,Marah,Pop
181,Kisah Sempurna - Mahalini,Sedih,Pop
182,Sinema - dMasiv Feat. Fiersa Besari,Bahagia,Pop
183,Ruang Sendiri - Tulus,Takut,Pop
184,Karena Kucinta Kau - Bunga Citra Lestari,Takut,Pop
185,Tentang Rindu - Virzha,Sedih,Pop
186,Waktu Yang Menjawab - D'MASIV,Sedih,Pop
187,Misal - Yovie & Nuno,Sedih,Pop
188,Putus Tapi Cinta - Andmesh,Sedih,Pop
189,Tak Kan Hilang - Budi Doremi,Sedih,Pop
190,Andaikan Kau Datang - NOAH,Takut,Pop
191,Senyum Semangat - Smash,Bahagia,Pop
192,Marah - Hanin Dhiya,Marah,Pop
193,Mungkin Hari Ini esok Atau Nanti - Anneth,Sedih,Pop
194,Cinta Luar Biasa - Andmesh,Bahagia,Pop
195,Yang Terbaik Bagimu - ADA BAND feat Gita Gutawa,Bahagia,Pop
196,Pesawat Kertas 365 Hari - JKT48,Bahagia,Pop
197,Jangan Menyerah - D'Masiv,Bahagia,Pop
198,Fight - Coboy Junior,Bahagia,Pop
199,Meraih Bintang - Via Vallen,Bahagia,Pop
200,Kejar Mimpi - Maudy Ayunda,Bahagia,Pop
201,sewindu - tulus,Sedih,Pop
202,Doremi - budi doremi,Bahagia,Pop
203,tetap dalam jiwa - isyana sarasvati,Sedih,Pop
204,melukis senja - budi doremi,Bahagia,Pop
205, Kulakukan Semua Untukmu - RAN,Bahagia,Pop
206,Heavy Rotation - JKT,Bahagia,Pop
207,Kamu - Coboy Junior,Bahagia,Pop
208,Status Palsu - Vidi Aldiano,Sedih,Pop
209,Bentuk Cinta - ECLAT,Bahagia,Pop
210,Hujan - utopia,Sedih,Pop
211,Rumah - Fiersa Besari,Bahagia,Indie/Pop
212,April - Fiersa Besari,Sedih,Indie/Pop
213,Waktu yang Salah - Fiersa Besari,Sedih,Indie/Pop
214,Bukan Lagu Valentine - Fiersa Besari,Bahagia,Indie/Pop
215,Dan - Sheila On 7,Sedih,Pop
216,Seberapa Pantas - Sheila On 7,Takut,Pop
217,Hitam Putih -  420,Sedih,Indie/Pop
218,Secukupnya - Hindia,Sedih,Pop
219,Seluruh Nafas Ini - Last Child,Takut,Pop
220,Siapkah Kau Tuk Jatuh Cinta Lagi - HIVI,Bahagia,Pop
221,Melawan Hati - Fiersa Besari,Takut,Indie/Pop
222,Jika Surga Dan Neraka Tak Pernah Ada - Chrisye,Takut,Pop
223,Untukku - Chrisye,Bahagia,Pop
224,Damai Bersamamu - Chrisye,Bahagia,Pop
225,Selamat Pagi - RAN,Bahagia,Pop
226,Evaluasi - Hindia,Bahagia,Indie/Pop
227,Tanpa Cinta - Yovie and Nuno,Sedih,Pop
228,Kisah Cintaku - Peterpan,Sedih,Pop
229,Hampa - Ari Lasso,Sedih,Pop
230,Manusia Biasa - Yovie and Nuno,Sedih,Pop
231,Bersama Bintang - Drive,Sedih,Pop
232,Mudah Saja - Sheila On 7,Sedih,Pop
233,Masih Ada - Ello,Bahagia,Pop
234,Kehilangan - Firman Siagian,Sedih,Pop
235,Di Atas Awan - Nidji,Bahagia,Pop
236,Sandaran Hati - Letto,Bahagia,Pop
237,Bukan Superstar - Project Pop,Bahagia,Pop
238,Sahabat Selamanya - Padi,Bahagia,Pop/Rock
239,Terlatih Patah Hati - The Rain ft. Endank Soekamti,Bahagia,Pop/Rock
240,"Buka Semangat Baru - Ello, Barry, Ipank, Lala Karmela",Bahagia,Pop
241,Seandainya - Vierra,Takut,Pop
242,Perih - Vierra,Sedih,Pop
243,Januari - Glenn Fredly,Sedih,Pop
244,Dunia Maya - Ari Lasso,Bahagia,Pop
245,Mama Papa Larang - Judika,Bahagia,Pop
246,Sekali Ini Saja - Glenn Fredly,Sedih,Pop
247,Cinta Karena Cinta - Judika,Bahagia,Pop
248,Aku yang Tersakiti - Judika,Sedih,Pop
249,Kasih Putih - Glenn Fredly,Bahagia,Pop
250,Dia - Anji,Bahagia,Pop
251,Janji Kita - Nuca x Mahalini,Bahagia,Pop
252,Saat Terakhir - ST12,Sedih,Pop
253,Putus Atau Terus - Judika,Sedih,Pop
254,Jangan Rubah takdirku - Andmesh Kamaleng,Bahagia,Pop
255,Separuh Aku - NOAH,Sedih,Pop
256,Sebelum Cahaya - Letto,Bahagia,Pop
257,Apalah Arti Menunggu - Raisa,Sedih,Pop
258,Tak Selalu - Souljah,Marah,Reggae/Pop
259,Selow - Cover by Via Vallen,Bahagia,Reggae/Pop
260,Kesempatan Kedua - Tangga,Sedih,Pop
261,Soulmate - KAHITNA,Sedih,Pop
262,Sang Dewi - Lyodra,Bahagia,Pop
263,Pikiran dan Perjalanan - Barasuara,Bahagia,Pop / Alternative
264,Konon Katanya - Kunto Aji,Bahagia,Pop / Jazz
265,"Tak Ingin Pisah Lagi - Marion Jola, Rizky Febian",Takut,Pop
266,Halu - Feby Putri NC,Sedih,Pop / Indie
267,"Selamat (Selamat Tinggal) - Virgoun, Audy",Bahagia,Pop
268,Senja dan Pagi - Alffy Rev ft. Farhad,Bahagia,Pop / Electronic
269,Rasa Ini - Vierratale,Takut,Pop
270,Rumah ke Rumah - Hindia,Sedih,Pop / Indie
271,Pamit - Tulus,Sedih,Pop
272,Bila Aku - DEKAT,Sedih,"Pop / Indie, Alternative"
273,Hapus Aku - NIDJI,Sedih,Pop
274,Lahir Kembali - DEKAT,Marah,"Pop / Indie, Alternative"
275,Cinta Ini Membunuhku - D'MASIV,Sedih,Pop / Rock
276,Menunggumu - NOAH,Takut,Pop
277,Sahabat Jadi Cinta - Mike Mohede,Takut,Pop
278,Arti Sahabat - NIDJI,Bahagia,Pop
279,Hari Bersamanya - Sheila on 7,Takut,Pop / Rock
280,Pulang (Piano) - DEKAT,Sedih,Pop / Indie
281,Jangan - Marion Jola,Marah,Pop
282,Nala - Tulus,Sedih,Pop
283,Tertawan Hati - Awdella,Sedih,Pop
284,Usai Di Sini - Raisa,Marah,Pop
285,Kali Kedua - Raisa,Bahagia,Pop
286,Pemeran Utama - Raisa,Sedih,Pop
287,LDR - Raisa,Sedih,Pop
288,Terjebak Nostalgia - Raisa,Sedih,Pop
289,Cinta dan Rahasia - Yura Yunita ft. Glenn Fredly,Sedih,Pop
290,Akhir Cerita Cinta - Glenn Fredly,Sedih,Pop
291,Serana - For Revenge,Sedih,Metal
292,Merindukanmu - D'Masiv,Sedih,Pop
293,Seperti Yang Dulu - Ungu,Marah,Pop
294,CInta Dalam Hati - Ungu,Sedih,Pop
295,Kisah Tak Sempurna - Samsons,Sedih,Pop
296,Akhirnya Ku Menemukanmu - Naff,Bahagia,Pop
297,Kau Masih Kekasihku - Naff,Sedih,Pop
298,Cari Jodoh - Wali,Sedih,Pop
299,Berharap tak Berpisah - Reza Artamevia,Sedih,Pop
300,Bagaikan Langit - Potret,Bahagia,Pop
301,Kukira Kau Rumah - Amigdala,Sedih,Pop / Indie
302,Kekasih Bayangan - Cakra Khan,Marah,Pop
303,Teman Hidup - Tulus,Bahagia,Pop
304,Maafkan Aku - Tiara Andini,Sedih,Pop
305,"Dengan Caraku - Arsy Widianto, Brisia Jodie",Sedih,Pop
306,Bukti - Virgoun,Bahagia,Pop
307,Hal Hebat - Govinda,Bahagia,Pop
308,Tanya Hati - Pasto,Marah,Pop
309,Nyaman - Andmesh,Bahagia,Pop
310,Laskar Pelangi - Nidji,Bahagia,Pop
311,Bila Aku Jatuh Cinta - Nidji,Bahagia,Pop
312,Sumpah dan Cinta Matiku - Nidji,Bahagia,Pop
313,Topeng - Peterpan,Marah,Pop
314,Cobalah - Hijau Daun,Marah,Pop
315,Kita Slamanya - Bondan & Fade2Black,Bahagia,Pop
316,Risalah Hati - Dewa,Bahagia,Pop
317,Ingin Lekas Memelukmu Lagi - D'MASIV feat Pusakata,Sedih,Pop
318,Diantara Kalian - D'MASIV,Sedih,Pop
319,"Sampai Kapan - Reza Chandika, Rendha Rais, Laleilmanino",Sedih,Pop
320,Segitiga Cinta - Nidji,Sedih,Pop
321,Mimpi - Anggun,Sedih,Pop
322,Menunggu Kamu - Anji,Bahagia,Pop
323,Sampai Tutup Usia - Angga Candra,Bahagia,Pop
324,Bunga Terakhir - Bebi Roomeo,Sedih,Pop
325,Cinta Terlarang - The Virgin,Sedih,Pop
326,Kau Adalah - Isnaya Sarasvati,Bahagia,Pop
327,Jika - Melly Goeslaw ft. Ari Lasso,Takut,Pop
328,Kisahku - Brisia Jodie,Sedih,Pop
329,Penantian Berharga - Rizky Febian,Bahagia,Pop
330,Pergi Saja - Geisha,Marah,Pop/Rock
331,Surat Cinta untuk Starla - Virgoun,Bahagia,Pop
332,Yang Terdalam - Noah,Sedih,Pop
333,Diary Depresiku - Last Child,Sedih,Pop
334,Orang yang Sama - Virgoun,Bahagia,Pop
335,Status Palsu - Vidi Aldiano,Sedih,Pop
336,"Maha Pemilik Hati - Virgoun, Last Child",Sedih,Pop
337,Kenangan Manis - Pamungkas,Bahagia,Pop
338,Kota Mati - Noah,Sedih,Pop
339,Wanitaku - Noah,Takut,Pop
340,Khayalan Tingkat Tinggi - Noah,Bahagia,Pop